county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,state_code,county_code,created,last_updated
Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3219,-118.2247,9936690,6,37,10/19/2024,10/19/2024
Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5225367,17,31,10/19/2024,10/19/2024
Harris,Harris,Harris County,48201,TX,Texas,29.8578,-95.3938,4726177,48,201,10/19/2024,10/19/2024
Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4430871,4,13,10/19/2024,10/19/2024
San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.735,3289701,6,73,10/19/2024,10/19/2024
Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609,3175227,6,59,10/19/2024,10/19/2024
Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5624,2688237,12,86,10/19/2024,10/19/2024
Kings,Kings,Kings County,36047,NY,New York,40.6413,-73.9383,2679620,36,47,10/19/2024,10/19/2024
Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,2604053,48,113,10/19/2024,10/19/2024
Riverside,Riverside,Riverside County,6065,CA,California,33.7436,-115.9938,2429487,6,65,10/19/2024,10/19/2024
Queens,Queens,Queens County,36081,NY,New York,40.7035,-73.8196,2360826,36,81,10/19/2024,10/19/2024
Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,2265926,32,3,10/19/2024,10/19/2024
King,King,King County,53033,WA,Washington,47.4902,-121.8052,2254371,53,33,10/19/2024,10/19/2024
San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1785,2180563,6,71,10/19/2024,10/19/2024
Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911,2113854,48,439,10/19/2024,10/19/2024
Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52,2014059,48,29,10/19/2024,10/19/2024
Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871,1940907,12,11,10/19/2024,10/19/2024
Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951,1916831,6,85,10/19/2024,10/19/2024
Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2822,-83.283,1781641,26,163,10/19/2024,10/19/2024
Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8887,1663823,6,1,10/19/2024,10/19/2024
New York,New York,New York County,36061,NY,New York,40.7792,-73.9668,1645867,36,61,10/19/2024,10/19/2024
Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1623109,25,17,10/19/2024,10/19/2024
Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339,1593208,42,101,10/19/2024,10/19/2024
Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443,1579211,6,67,10/19/2024,10/19/2024
Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8681,-72.8456,1524486,36,103,10/19/2024,10/19/2024
Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655,1494805,12,99,10/19/2024,10/19/2024
Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9292,-82.3088,1468560,12,57,10/19/2024,10/19/2024
Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.8672,1443229,36,5,10/19/2024,10/19/2024
Orange,Orange,Orange County,12095,FL,Florida,28.5144,-81.3235,1427403,12,95,10/19/2024,10/19/2024
Nassau,Nassau,Nassau County,36059,NY,New York,40.7326,-73.5862,1389160,36,59,10/19/2024,10/19/2024
Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093,1318149,39,49,10/19/2024,10/19/2024
Travis,Travis,Travis County,48453,TX,Texas,30.3344,-97.782,1289054,48,453,10/19/2024,10/19/2024
Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858,1272264,26,125,10/19/2024,10/19/2024
Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,45.0046,-93.477,1270787,27,53,10/19/2024,10/19/2024
Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,41.4243,-81.6586,1256620,39,35,10/19/2024,10/19/2024
Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,40.4688,-79.9813,1245310,42,3,10/19/2024,10/19/2024
Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,40.6673,-111.9236,1180643,49,35,10/19/2024,10/19/2024
Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,37.9192,-121.9275,1162648,6,13,10/19/2024,10/19/2024
Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277,1145354,51,59,10/19/2024,10/19/2024
Wake,Wake,Wake County,37183,NC,North Carolina,35.7903,-78.6503,1132103,37,183,10/19/2024,10/19/2024
Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328,1115403,37,119,10/19/2024,10/19/2024
Collin,Collin,Collin County,48085,TX,Texas,33.188,-96.5724,1079153,48,85,10/19/2024,10/19/2024
Fulton,Fulton,Fulton County,13121,GA,Georgia,33.7902,-84.467,1061944,13,121,10/19/2024,10/19/2024
Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,39.1363,-77.2042,1056910,24,31,10/19/2024,10/19/2024
Pima,Pima,Pima County,4019,AZ,Arizona,32.0974,-111.7899,1042393,4,19,10/19/2024,10/19/2024
Honolulu,Honolulu,Honolulu County,15003,HI,Hawaii,21.4899,-158.0739,1010100,15,3,10/19/2024,10/19/2024
Fresno,Fresno,Fresno County,6019,CA,California,36.7582,-119.6493,1008280,6,19,10/19/2024,10/19/2024
St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,38.6407,-90.4434,999703,29,189,10/19/2024,10/19/2024
Westchester,Westchester,Westchester County,36119,NY,New York,41.1626,-73.7561,997904,36,119,10/19/2024,10/19/2024
Duval,Duval,Duval County,12031,FL,Florida,30.3313,-81.6715,995708,12,31,10/19/2024,10/19/2024
Capitol,Capitol,Capitol Planning Region,9110,CT,Connecticut,41.8185,-72.572,977165,9,110,10/19/2024,10/19/2024
Marion,Marion,Marion County,18097,IN,Indiana,39.7817,-86.1385,971737,18,97,10/19/2024,10/19/2024
Pinellas,Pinellas,Pinellas County,12103,FL,Florida,27.9198,-82.7255,959918,12,103,10/19/2024,10/19/2024
Gwinnett,Gwinnett,Gwinnett County,13135,GA,Georgia,33.9619,-84.0236,957977,13,135,10/19/2024,10/19/2024
Prince George's,Prince George's,Prince George's County,24033,MD,Maryland,38.8295,-76.8473,957189,24,33,10/19/2024,10/19/2024
Bergen,Bergen,Bergen County,34003,NJ,New Jersey,40.9597,-74.0742,953243,34,3,10/19/2024,10/19/2024
Erie,Erie,Erie County,36029,NY,New York,42.7639,-78.7323,951232,36,29,10/19/2024,10/19/2024
Milwaukee,Milwaukee,Milwaukee County,55079,WI,Wisconsin,43.0072,-87.9669,933063,55,79,10/19/2024,10/19/2024
DuPage,DuPage,DuPage County,17043,IL,Illinois,41.852,-88.0856,930559,17,43,10/19/2024,10/19/2024
Shelby,Shelby,Shelby County,47157,TN,Tennessee,35.1843,-89.8938,926440,47,157,10/19/2024,10/19/2024
Pierce,Pierce,Pierce County,53053,WA,Washington,47.0239,-122.104,918993,53,53,10/19/2024,10/19/2024
Denton,Denton,Denton County,48121,TX,Texas,33.2055,-97.1168,914870,48,121,10/19/2024,10/19/2024
Kern,Kern,Kern County,6029,CA,California,35.3426,-118.7301,906883,6,29,10/19/2024,10/19/2024
Macomb,Macomb,Macomb County,26099,MI,Michigan,42.6957,-82.9323,878453,26,99,10/19/2024,10/19/2024
Hidalgo,Hidalgo,Hidalgo County,48215,TX,Texas,26.3969,-98.1812,873167,48,215,10/19/2024,10/19/2024
El Paso,El Paso,El Paso County,48141,TX,Texas,31.7686,-106.2348,863832,48,141,10/19/2024,10/19/2024
Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4392,-74.4117,860147,34,23,10/19/2024,10/19/2024
